"name","Q1","Q2","Q3","Q4","Q5"
"supportivecriticism",-3.02708918917997,-1.34159671758975,-0.088821852427685,1.63556550543098,2.28460273855876
"support_friend",-4.1926093178403,-2.44402165641912,0.100838879926801,2.38323084071628,4.25200593194997
"negativeaffect_friend",-0.875371477787925,-0.875371477787925,-0.432466520281364,1.08214726693127,2.89536885452377
"power_friend",-2.19504658086597,-1.34384799925215,-0.0997928026038957,1.09377482983842,2.5415865924363
"support_mother",-3.89057127729643,-1.84548030285365,0.139922376861984,1.74028632769503,3.2834561199028
"negativeaffect_mother",-3.68143502906007,-1.20615341785847,0.028084701751648,1.62873164069412,1.62873164069412
"power_mother",-2.87061033357907,-1.64175398647296,0.0131714724127131,1.66378238426822,3.49572192514755
"support_father",-3.20449928985566,-1.83319891532693,-0.0538649637266515,1.78158421206646,4.03820351728337
"negativeaffect_father",-1.3190547855683,-1.3190547855683,-0.436580011402835,1.09276854317478,3.53829875109988
"power_father",-3.00189042693987,-1.61665259614763,-0.177688586278132,1.7168000708929,3.49561204785334
"parknow",-4.34510199398246,-3.03456986235243,-0.259719144902146,2.72113135898066,6.19512118924982
"disclosure",-4.92747484936761,-2.32204489069984,0.154685876558805,2.3564601891676,4.02063574640518
"sollicitation",-4.09310139253226,-2.27766630210919,-0.0456730437889229,2.27789648222435,4.65367822167859
"conbehpar",-5.74965054469255,-2.70464334581217,0.113921965493762,2.81689457582563,4.72349525950365
"conpsy",-3.37138126081965,-2.44465956132298,-0.352578650647059,2.61851326330352,5.11165825539003
"par_consist",-3.08036350955783,-1.79476041259172,-0.252840691530262,1.98571157141083,4.04098485394488
"peermanag",-3.2727150950459,-2.39395556098088,0.224901223981693,1.92872287806914,3.11845269922045
"perpphys",-1.46299703956462,-1.46299703956462,-0.909754693227807,1.96745282649253,5.89938999287483
"perprelat",-3.16329076838474,-2.84446253328498,-0.623287889415875,2.87565193084125,6.31444168394036
"vicphys",-1.17422115085023,-1.17422115085023,-0.735493173852793,1.56578383144647,4.2764878691794
"vicrelat",-2.40613275126222,-2.40613275126222,-0.450674341583068,2.16010029541205,5.67702617458026
"prosoc",-4.82941086233706,-3.03872980462078,-0.3278371122986,2.69080488566112,5.97172493500048
"pubert",-4.38344819773679,-2.27510031412726,0.31068712086422,1.78488578827089,2.72479803057962
"depression",-3.03283436267933,-2.29119172986613,-0.650078714671704,2.41906976659497,5.75317118228326
"anxiety",-3.78259187418,-1.75302230901278,0.369444130898087,1.56798606665698,2.25872525411128
"selfconc",-4.57344542095302,-2.52893277843247,-0.0835654384547423,2.48576116547773,4.60450523236779
"school",-6.19638904754972,-3.32639147067563,-0.173613658770027,2.84860218907864,7.4915645000501
"victim",-0.30461436370204,-0.30461436370204,-0.30461436370204,0.471856597769848,1.11674733331475
"externalizing_psych",-2.20673944736405,-1.42218623952761,-0.208349851386557,1.47503763945315,3.04726603184537
